HudongItem1,relation,HudongItem2
肯特大学,located in the administrative territorial entity,肯特郡
维塔斯,country of citizenship,苏联
cu,located in the administrative territorial entity,南欧
棍棒椰子,taxon rank,种
秋香,sex or gender,女性
毛叶樟,taxon rank,种
邕州,country,中华人民共和国
维塔斯,country of citizenship,俄罗斯
Kendrick,instance of,城市
CTK,instance of,基因
毛叶樟,parent taxon,樟属
弓形虫病,has cause,弓形虫
穆罕默德,place of death,麦地那
维塔斯,country of citizenship,乌克兰
Kendrick,country,美国
水浮莲,taxon rank,种
西藏沙蜥,taxon rank,种
网球,country of origin,英格兰
hurricane,subclass of,气旋
天象,subclass of,事件
旋臂,subclass of,天体
沃尔塔,instance of,城市
SMK,country,丹麦
CTK,found in taxon,智人
弓形虫病,drug used for treatment,磺胺嘧啶
红茄,taxon rank,种
维塔斯,occupation,艺术家
estimate,subclass of,value
金史,instance of,文本
景观生态学,subclass of,生态学
FSI,country,美国
沃尔塔,country,印度
SMK,location,哥本哈根
蜡瓣花,taxon rank,种
金史,part of,二十四史
扬州市,part of,江苏省
CTK,genetic association,肥胖症
陆机,occupation,诗人
大中祥符,instance of,年号
芬兰人,instance of,人民
聚四氟乙烯,instance of,聚合物
元狩,instance of,年号
皮可,followed by,奈
扬州市,country,中华人民共和国
芬兰人,instance of,族群
放线菌,taxon rank,门
DSL,instance of,操作系统
聚四氟乙烯,polymer of,四氟乙烯
扬州市,located in the administrative territorial entity,江苏省
扬州市,contains administrative territorial entity,宝应县
维塔斯,instrument,手风琴
维塔斯,instrument,钢琴
Mexican,narrative location,墨西哥
Mexican,filming location,洛杉矶
Mexican,filming location,墨西哥
Mexican,color,彩色
IET,instance of,组织
741年,instance of,年
耀州,instance of,州
IET,country,英国
宽刺蔷薇,taxon rank,种
过江藤,taxon rank,种
磷化锌,instance of,化合物
玩物,instance of,杂志
英国药典,instance of,药典
洋,instance of,汉字
Disease,instance of,疾病
741年,follows,740年
宽刺蔷薇,parent taxon,蔷薇属
李冰,sex or gender,男性
磷化锌,has part,磷
玩物,place of publication,纽约
英国药典,instance of,企业
独脚金属,taxon rank,属
741年,followed by,742年
李冰,family name,李
226年,instance of,年
本顿,instance of,城市
南麻,instance of,县
第二松花江,instance of,河流
磷化锌,has part,锌
玩物,country of origin,美国
李冰,occupation,工程师
穆罕默德,occupation,商人
本顿,country,美国
南麻,country,中华人民共和国
青梅属,taxon rank,属
第二松花江,mouth of the watercourse,松花江
bloater,taxon rank,种
毛叶绣线梅,taxon rank,种
白峰,sex or gender,男性
捷克斯洛伐克,continent,欧洲
乒乓球拍,subclass of,球拍
狮泉河,instance of,河流
Fur,instance of,语言
泽兰,instance of,城市
226年,follows,225年
南麻,located in the administrative territorial entity,淄博市
青梅属,parent taxon,龙脑香科
第二松花江,country,中华人民共和国
毛叶绣线梅,parent taxon,绣线梅属
白峰,country of citizenship,朝鲜民主主义人民共和国
捷克斯洛伐克,country,捷克斯洛伐克
突厥蔷薇,taxon rank,种
Syd,writing system,拉丁文字
狮泉河,country,中华人民共和国
背角无齿蚌,taxon rank,种
捷克斯洛伐克,capital,布拉格
齿轮,instance of,简单机械
墨菲,instance of,城市
脱粒机,subclass of,农业机械
LDL,subclass of,蛋白质
突厥蔷薇,parent taxon,蔷薇属
乒乓球拍,sport,乒乓球
泽兰,country,美国
白甲鱼,taxon rank,种
黄金树,taxon rank,种
Candida,taxon rank,属
墨菲,country,美国
LDL,subclass of,脂蛋白
扶南,currency,珍珠
捷克斯洛伐克,basic form of government,共和制
元初,instance of,年号
曲线积分,subclass of,积分
黄金树,parent taxon,梓木
Fur,country,乍得
瓣结鱼,taxon rank,种
墨菲,shares border with,帕克
南麻,contains administrative territorial entity,悦庄镇
微山县,instance of,县
黄冈县,country,中华人民共和国
瓣结鱼,parent taxon,Tor
紫蝴蝶,country of origin,中华人民共和国
Chronic,country of origin,美国
Fur,writing system,拉丁文字
微山县,country,中华人民共和国
白颜树,taxon rank,种
紫蝴蝶,original language of work,日语
Chronic,country of origin,法国
穆罕默德,ethnic group,阿拉伯人
MMT,instance of,化合物
Virology,instance of,科学期刊
Chronic,country of origin,墨西哥
Louis,language of work or name,英语
萧何,sex or gender,男性
拉美,sex or gender,男性
Virology,main subject,病毒学
古北,country,中华人民共和国
Chronic,original language of work,英语
南北朝,instance of,组织
日月潭,instance of,湖泊
恩德,country,印度尼西亚
Louis,language of work or name,法语
萧何,country of citizenship,中国
拉美,country of citizenship,法国
nitrogen,named after,硝石
穆罕默德,religion,伊斯兰教
灰卷尾,taxon rank,种
黑粉菌纲,taxon rank,纲
加德,sex or gender,男性
萧何,place of death,长安
拉美,given name,Ulrich
Virology,language of work or name,英语
Sarg,instance of,基因
数理经济学,part of,经济学
乌龙茶,subclass of,茶
中国历史,facet of,中国
南北朝,country,中华人民共和国
加德,country of citizenship,丹麦
恩德,material used,玄武岩
拉美,place of birth,南特
炎帝,color,褐色
nitrogen,location of discovery,英国
帆船,subclass of,船
中区,country,日本
Th,writing system,拉丁文字
萧何,occupation,政治家
1752年,instance of,年
氯化钾,instance of,化合物
Sarg,found in taxon,褐鼠
Th,has part,T
Louis,writing system,拉丁文字
爱迪生,sex or gender,男性
Barnett,country,美国
1752年,instance of,闰年
顶冰花,taxon rank,种
毛叶狗牙花,taxon rank,种
布达佩斯,instance of,城市
Th,has part,H
加德,place of birth,哥本哈根
Louis,family name identical to this given name,Louis
雨季,instance of,季节
爱迪生,country of citizenship,美国
布达佩斯,instance of,首都
加德,place of death,哥本哈根
Louis,different from,路易斯
紫蝴蝶,color,彩色
东门,country,叙利亚
厚壳桂,taxon rank,种
卷云,subclass of,云
爱迪生,given name,托马斯
1752年,follows,1751年
Louis,said to be the same as,路易斯
1752年,followed by,1753年
顶冰花,has fruit type,蒴果
爱迪生,family name,Edison
Louis,said to be the same as,Love
爱迪生,place of birth,米兰
布达佩斯,continent,欧洲
拉美,sport,足球
布达佩斯,country,匈牙利
氯化钾,has part,钾
氯化钾,has part,氯
布达佩斯,country,奥匈帝国
加德,instrument,小提琴
Louis,said to be the same as,Lewis
Chronic,filming location,洛杉矶
Chronic,color,彩色
爱迪生,languages spoken written or signed,英语
布达佩斯,capital of,匈牙利
Chronic,EIRIN film rating,G
爱迪生,occupation,工程师
Chronic,Kijkwijzer rating,12
爱迪生,occupation,发明家
三元酸,instance of,酸
Oneida,instance of,城市
17,instance of,年
爱迪生,occupation,企业家
Oneida,country,美国
爱迪生,occupation,计算机科学
胃溃疡,instance of,疾病
基伍湖,basin country,卢旺达
Hydro,country,美国
USGS,part of,美国内政部
剪股颖,taxon rank,种
赭曲霉,taxon rank,种
USGS,country,美国
赭曲霉,parent taxon,曲霉属
古动物学,part of,动物学
继承人,language of work or name,汉语
落羽松,taxon rank,种
油点草属,taxon rank,属
宋璟,sex or gender,男性
USGS,parent organization,美国内政部
捷克斯洛伐克,diplomatic relation,挪威
本科,subclass of,学位
百濮,instance of,族群
居士,country,中华人民共和国
宋璟,country of citizenship,唐朝
MSV,country,美国
胃溃疡,afflicts,胃
捷克斯洛伐克,diplomatic relation,波兰
宋璟,occupation,诗人
MSV,located in the administrative territorial entity,纽约州
胃溃疡,afflicts,十二指肠
布达佩斯,located in or next to body of water,多瑙河
捷克斯洛伐克,diplomatic relation,苏联
NK,instance of,基因
切尔诺贝利,instance of,城市
资源,subclass of,实体
Bear,country of origin,苏联
Sine,country,印度尼西亚
中国石蒜,taxon rank,种
放射虫,taxon rank,门
将军,instance of,军衔
马拉维,instance of,共和制
捷克斯洛伐克,member of,联合国
中国农历,instance of,历法
伊洛瓦底江三角洲,instance of,三角洲
切尔诺贝利,country,乌克兰
伊洛瓦底江三角洲,country,缅甸
灵猫科,taxon rank,科
马拉维,instance of,国家
捷克斯洛伐克,replaced by,捷克
将军,followed by,司马
捷克斯洛伐克,replaced by,斯洛伐克
马拉维,official language,英语
捷克斯洛伐克,replaces,奥匈帝国
布达佩斯,sister city,柏林
马拉维,continent,非洲
马拉维,country,马拉维
布达佩斯,sister city,纽约
捷克斯洛伐克,shares border with,德国
将军,said to be the same as,general
马拉维,capital,松巴
捷克斯洛伐克,shares border with,波兰
胃溃疡,drug used for treatment,甘氨酸
捷克斯洛伐克,shares border with,奥地利
布达佩斯,sister city,里斯本
捷克斯洛伐克,shares border with,匈牙利
胃溃疡,drug used for treatment,氢氧化镁
布达佩斯,sister city,北京市
捷克斯洛伐克,shares border with,苏联
布达佩斯,sister city,维尔纽斯
捷克斯洛伐克,shares border with,东德
布达佩斯,sister city,那不勒斯
捷克斯洛伐克,shares border with,乌克兰
平阳路,country,中华人民共和国
1695年,instance of,年
Xerox,instance of,企业
布达佩斯,sister city,克拉科夫
白皮松,taxon rank,种
笙珊瑚,taxon rank,种
布达佩斯,sister city,佛罗伦萨
冰山,subclass of,冰
1695年,follows,1694年
Xerox,country,美国
cell,part of,组织
背棘鱼,taxon rank,种
叶蜡石,streak color,白色
大苞鞘花,taxon rank,种
1695年,followed by,1696年
马拉维,diplomatic relation,澳大利亚
马拉维,diplomatic relation,以色列
雪月,part of,冬季
Minor,country,美国
皮托,country,法国
草原樱桃,taxon rank,种
马拉维,diplomatic relation,莫桑比克
布达佩斯,sister city,华沙
捷克斯洛伐克,driving side,左
NBC,instance of,电视台
文山州,instance of,自治州
BET,instance of,电视台
qua,instance of,基因
雪月,country,法国
草原樱桃,parent taxon,李属
Xerox,legal form,股份有限公司
蒲公英,taxon rank,属
香花藤,taxon rank,种
蕺叶秋海棠,taxon rank,种
文山州,country,中华人民共和国
qua,found in taxon,黑腹果蝇
草原樱桃,has fruit type,核果
英雄,country of origin,美国
马拉维,diplomatic relation,卢旺达
Applied,instance of,企业
蒲公英,parent taxon,菊苣族
蕺叶秋海棠,parent taxon,秋海棠属
文山州,located in the administrative territorial entity,云南省
英雄,original language of work,英语
马拉维,diplomatic relation,南非
布达佩斯,sister city,都柏林
一行,sex or gender,男性
蒲公英,has fruit type,胞果
NBC,country,美国
马拉维,diplomatic relation,马来西亚
布达佩斯,sister city,曼谷
一行,country of citizenship,中国
NBC,language used,英语
一行,place of death,长安
NBC,location of formation,纽约
cell,has parts of the class,真核细胞
马拉维,diplomatic relation,赞比亚
布达佩斯,sister city,马德里
一行,occupation,数学家
马拉维,diplomatic relation,美国
布达佩斯,sister city,大马士革
一行,occupation,天文学家
马拉维,diplomatic relation,中华人民共和国
布达佩斯,sister city,布加勒斯特
一行,occupation,工程师
马拉维,diplomatic relation,孟加拉国
一行,time period,唐朝
文山州,contains administrative territorial entity,广南县
马拉维,member of,联合国
马拉维,member of,英联邦
NBC,headquarters location,斯坦福
皮托,shares border with,巴黎
布达佩斯,sister city,上海市
580年,instance of,年
EIA,instance of,电影制片厂
Conversion,instance of,无量纲量
云锦杜鹃,taxon rank,种
金字塔,subclass of,建筑物
Metabolism,instance of,科学期刊
海丰县,instance of,县
EIA,country,意大利
Tropic,country,美国
金字塔,has quality,体积
海丰县,country,中华人民共和国
Fryer,sex or gender,男性
准噶尔盆地,country,中华人民共和国
580年,followed by,581年
EIA,headquarters location,罗马
阳光,instance of,大熊猫
Inca,instance of,市镇
Fryer,country of citizenship,英国
胡桃,taxon rank,属
鲨鱼,taxon rank,总目
阳光,sex or gender,雄性
Inca,country,西班牙
1807年,instance of,年
上颌骨,subclass of,骨骼
粘度计,use,量度
岷江,instance of,河流
1995年,instance of,年
1637年,instance of,年
胡桃,parent taxon,胡桃科
鲨鱼,parent taxon,板鳃亚纲
上颌骨,part of,颅骨
Fryer,occupation,鱼类学家
马拉维,language used,英语
岷江,mouth of the watercourse,长江
弗洛里,sex or gender,男性
胡桃,has fruit type,核果
马拉维,contains administrative territorial entity,中央区
cauliflower,instance of,苞片
世界纪录,subclass of,record
岷江,tributary,大渡河
1995年,follows,1994年
1637年,follows,1636年
弗洛里,country of citizenship,澳大利亚
1807年,followed by,1808年
Fryer,occupation,生物学家
马拉维,contains administrative territorial entity,北部区
三棱,taxon rank,种
弗罗茨瓦夫,instance of,城市
巴勒斯坦,instance of,国家
岷江,country,中华人民共和国
1995年,followed by,1996年
弗洛里,given name,Howard
马拉维,contains administrative territorial entity,南部区
三棱,parent taxon,藨草属
cauliflower,natural product of taxon,花椰菜
巴勒斯坦,part of,中东
弗洛里,place of birth,阿德莱德
巴勒斯坦,part of,亚洲
岷江,watershed,长江流域
弗洛里,place of death,牛津
弗罗茨瓦夫,country,波兰
英雄,narrative location,洛杉矶
马拉维,shares border with,赞比亚
弗洛里,cause of death,心肌梗死
英雄,narrative location,纽约
马拉维,shares border with,坦桑尼亚
巴勒斯坦,continent,亚洲
弗洛里,languages spoken written or signed,英语
英雄,filming location,洛杉矶
马拉维,shares border with,莫桑比克
巴勒斯坦,country,巴勒斯坦
弗罗茨瓦夫,country,波兰王国
马拉维,driving side,左
弗洛里,occupation,医生
海丰县,contains administrative territorial entity,赤石镇
弗洛里,occupation,教授
巴勒斯坦,diplomatic relation,巴西
布达佩斯,shares border with,福特
巴勒斯坦,diplomatic relation,沙特阿拉伯
巴勒斯坦,diplomatic relation,埃及
巴勒斯坦,diplomatic relation,阿尔及利亚
巴勒斯坦,diplomatic relation,阿尔巴尼亚
巴勒斯坦,diplomatic relation,丹麦
磨刀溪,instance of,流水
精耕细作,subclass of,农业
红细胞沉降率,subclass of,rate
巴勒斯坦,diplomatic relation,冰岛
磨刀溪,country,中华人民共和国
杨铨,sex or gender,男性
传质,subclass of,过程
大叶木莲,taxon rank,种
巴勒斯坦,diplomatic relation,印度尼西亚
灰六鳃鲨,instance of,鲨鱼
密县,country,中华人民共和国
藏杏,taxon rank,种
孢子囊,produced by,孢子体
石海椒,taxon rank,种
大叶木莲,parent taxon,木莲属
巴勒斯坦,diplomatic relation,马来西亚
埃及人,instance of,族群
眼疾,instance of,疾病
灰六鳃鲨,taxon rank,种
密县,located in the administrative territorial entity,郑州市
弗罗茨瓦夫,located in the administrative territorial entity,波兰王国
巴勒斯坦,diplomatic relation,巴基斯坦
埃及人,subclass of,阿拉伯人
半枫荷,taxon rank,种
绣球藤,taxon rank,种
蜡梅科,taxon rank,科
Heresy,country of origin,英国
巴勒斯坦,diplomatic relation,伊拉克
1791年,instance of,年
绣球藤,parent taxon,铁线莲属
Heresy,different from,Heresy
巴勒斯坦,diplomatic relation,墨西哥
王战,family name,王
聚合果,subclass of,果实
AACC,country,美国
柿生球针壳,taxon rank,种
米丘林,sex or gender,男性
渤海湾,country,中华人民共和国
绣球藤,has fruit type,胞果
1791年,follows,1790年
巴勒斯坦,diplomatic relation,南非
米丘林,country of citizenship,苏联
1791年,followed by,1792年
蜡梅科,parent taxon,樟目
巴勒斯坦,diplomatic relation,土耳其
米丘林,given name,伊凡
米丘林,place of death,米丘林斯克
弗罗茨瓦夫,sister city,布雷达
巴勒斯坦,diplomatic relation,阿拉伯联合酋长国
巴勒斯坦,diplomatic relation,越南
巴勒斯坦,diplomatic relation,美国
米丘林,field of work,生物学
弗罗茨瓦夫,sister city,德累斯顿
巴勒斯坦,diplomatic relation,塞尔维亚
葡萄糖酸镁,instance of,化合物
长岛县,instance of,县
317年,instance of,年
浙江农学院,country,中华人民共和国
咸丰,instance of,年号
米丘林,field of work,植物学
巴勒斯坦,diplomatic relation,俄罗斯
长岛县,country,中华人民共和国
咸丰,country,清朝
巴勒斯坦,diplomatic relation,伊朗
淡水湖,country,中华人民共和国
甲基红,instance of,化合物
PCC,instance of,疾病
雨棚,subclass of,建筑物
长岛县,located in the administrative territorial entity,烟台市
317年,follows,316年
咸丰,follows,道光
巴勒斯坦,diplomatic relation,中华人民共和国
岳桦,taxon rank,种
甲基红,instance of,酸碱指示剂
雨棚,has immediate cause,天气
邓艾,sex or gender,男性
路易十四时代,language of work or name,法语
弗罗茨瓦夫,sister city,里尔
巴勒斯坦,diplomatic relation,印度
月饼,subclass of,糕点
嘉陵,instance of,陵墓
2025年,instance of,年
625年,instance of,年
岳桦,parent taxon,桦木属
邓艾,country of citizenship,中国
巴勒斯坦,diplomatic relation,朝鲜民主主义人民共和国
万用表,subclass of,电器
华西小石积,taxon rank,种
PCC,health specialty,肿瘤学
邓艾,family name,邓
巴勒斯坦,diplomatic relation,孟加拉国
泥盆纪,instance of,纪
Crescent,instance of,城市
巨石,instance of,stone
Orbit,instance of,科学期刊
322年,instance of,年
月饼,country of origin,中华人民共和国
嘉陵,country,中华人民共和国
625年,follows,624年
巴勒斯坦,diplomatic relation,洪都拉斯
泥盆纪,instance of,system
Crescent,country,美国
语法,part of,语言学
巨石,subclass of,地形
万用表,has part,电压表
Ki,instance of,基因
Lange,instance of,姓氏
泥盆纪,part of,古生代
万用表,has part,电流表
美洲柿,taxon rank,种
Lange,writing system,拉丁文字
山东农学院,country,中华人民共和国
海洋生物学,subclass of,生物学
红三叶,taxon rank,种
冒号,follows,句号
泥盆纪,named after,德文郡
322年,followed by,323年
Mound,instance of,城市
崇祯历书,instance of,年号
EL,instance of,基因
美洲柿,parent taxon,柿
Ki,found in taxon,智人
Lange,different from,Lange
山东农学院,located in the administrative territorial entity,泰安市
巨石,has part,stone
唐竹属,taxon rank,属
Mound,country,美国
钝叶草,taxon rank,种
福建柏属,taxon rank,种
树棉,taxon rank,种
随心所欲,country of origin,法国
泥盆纪,followed by,石炭纪
703,instance of,年
航空工程,instance of,科学
城市景观,instance of,艺术风格
唐竹属,parent taxon,禾本科
EL,found in taxon,智人
随心所欲,original language of work,法语
PVM,country,加拿大
朱洗,sex or gender,男性
虚数,subclass of,复数
紫堇,taxon rank,种
PVM,located in the administrative territorial entity,魁北克
703,followed by,704年
FGA,instance of,基因
Surprise,instance of,城市
Delacroix,instance of,姓氏
亮度,instance of,物理量
Castor,sex or gender,女性
朱洗,country of citizenship,中华人民共和国
ct,measured physical quantity,质量
虚数,has quality,绝对值
紫堇,parent taxon,紫堇属
PVM,located in the administrative territorial entity,蒙特利尔
Surprise,country,美国
东北杏,taxon rank,种
Delacroix,language of work or name,法语
不来梅,instance of,大城市
Hinder,country of origin,美国
Castor,country of citizenship,法国
朱洗,occupation,生物学家
虚数,opposite of,实数
布尔戈斯,instance of,市镇
孟族,instance of,族群
FGA,found in taxon,智人
东北杏,parent taxon,李属
Delacroix,writing system,拉丁文字
水稻,taxon rank,种
布尔戈斯,instance of,城市
欧洲医蛭,taxon rank,种
Delacroix,different from,Delacroix
Castor,place of birth,巴黎
原卟啉,instance of,杂环化合物
1996年,instance of,年
高血压,instance of,疾病
水稻,parent taxon,稻属
布尔戈斯,country,西班牙
夜莺岛,country,越南
Amani,country,希腊
不来梅,instance of,城市
原卟啉,subclass of,化合物
M13噬菌体,taxon rank,种
1996年,instance of,闰年
旋覆花,taxon rank,种
高血压,subclass of,血管疾病
水稻,has fruit type,颖果
不来梅,country,德国
Hinder,different from,Hinder
Castor,place of death,巴黎
原卟啉,has part,氮
水稻,this taxon is source of,稻
原卟啉,has part,碳
1996年,follows,1995年
高雄,located in the administrative territorial entity,高雄市
Castor,cause of death,肺炎
水稻,different from,稻
Castor,native language,法语
Castor,languages spoken written or signed,法语
法言,instance of,图书
RG,instance of,航空公司
良,language of work or name,日语
巴拉特,country,土耳其
爵床科,taxon rank,科
狐臭,subclass of,副作用
RG,country,巴西
70,instance of,年
缙云山,instance of,山
平行光,subclass of,光
法言,language of work or name,文言文
随心所欲,color,黑白
黑桫椤,taxon rank,种
缙云山,country,中华人民共和国
710年,instance of,年
沁水县,instance of,县
缙云山,located in the administrative territorial entity,北碚区
ADF,country,澳大利亚
沁水县,country,中华人民共和国
崇安湍蛙,taxon rank,种
野扇花,taxon rank,种
狐臭,anatomical location,毛皮
品管,subclass of,管理学
机器语言,instance of,形式语言
hp,measured physical quantity,功率
爵床科,has fruit type,蒴果
狐臭,anatomical location,生殖器
阿克赛钦,country,中华人民共和国
帕斯卡尔,different from,Pascal
雷公藤,taxon rank,种
沁水县,located in the administrative territorial entity,晋城市
狐臭,anatomical location,肛门
不来梅,sister city,里加
Castor,occupation,哲学家
阿克赛钦,located in the administrative territorial entity,和田地区
帕斯卡尔,different from,Pascal
雷公藤,parent taxon,雷公藤属
Berlin,instance of,大城市
狐臭,anatomical location,腋窝
不来梅,sister city,浦那
狐臭,anatomical location,脚
狐臭,anatomical location,口腔
Berlin,instance of,城邦
不来梅,sister city,罗斯托克
Castor,field of work,哲学
Berlin,instance of,城市
Castor,field of work,随笔
不来梅,sister city,伊兹密尔
Castor,field of work,自传
被,instance of,五言律诗
Berlin,country,德国
running,subclass of,体育
Food,country of origin,英国
甲竹,taxon rank,种
被,instance of,诗
转子发动机,subclass of,内燃机
Berlin,country,东德
沩山,country,中华人民共和国
肘肌,instance of,肌肉
Food,country of origin,捷克斯洛伐克
被,genre,唐诗
窝阔台,sex or gender,男性
倒刺鲃,taxon rank,种
荨麻科,taxon rank,科
直线,subclass of,轨迹
被,country of origin,唐朝
1907年,instance of,年
锡伯语,instance of,语言
窝阔台,country of citizenship,蒙古帝国
荨麻科,parent taxon,荨麻目
神职,field of this occupation,宗教
乌克兰,instance of,国家
running,sport,田径
被,language of work or name,文言文
狐臭,has contributing factor,疾病
PL,country,英国
窝阔台,place of death,蒙古国
乌克兰,part of,东欧
直线,part of,平面
oml,instance of,基因
PL,sport,足球
1907年,follows,1906年
野苜蓿,parent taxon,紫花苜蓿
嫘祖,sex or gender,女性
窝阔台,father,成吉思汗
直线,has part,点
oml,found in taxon,黑腹果蝇
IBM公司,industry,硬件
1907年,followed by,1908年
锡伯语,country,中华人民共和国
嫘祖,country of citizenship,中华人民共和国
狐臭,has contributing factor,感染
Castor,educated at,巴黎大学
Jeffrey,writing system,拉丁文字
锡伯语,located in the administrative territorial entity,新疆维吾尔自治区
嫘祖,spouse,黄帝
乌克兰,continent,欧洲
running,different from,running
PL,operating area,英格兰
Jeffrey,family name identical to this given name,Jeffrey
乌克兰,country,乌克兰
Food,color,彩色
狐臭,different from,香水
Jeffrey,different from,Jeffrey
Berlin,capital of,德国
PL,season starts,8月
Jeffrey,said to be the same as,Gottfried
乌克兰,basic form of government,共和制
Castor,notable work,第二性
窝阔台,sibling,察合台
Berlin,located in the administrative territorial entity,德国
IBM公司,country,美国
IBM公司,legal form,股份有限公司
高血压,drug used for treatment,酚苄明
Pathology,instance of,科学期刊
催产素,instance of,化合物
天气预报,subclass of,计划
海宁县,instance of,县
唐明宗,sex or gender,男性
通脱木,taxon rank,种
海宁县,country,中华人民共和国
草谷,instance of,城市
Pathology,country of origin,澳大利亚
催产素,instance of,激素
Rodeo,country,美国
Con,writing system,拉丁文字
草谷,country,美国
唐明宗,family name,李
Berlin,enclave within,勃兰登堡
LE,country,埃及
Con,family name identical to this given name,Con
唐明宗,place of birth,瀛州
美国领土,country,美国
Mara,writing system,拉丁文字
Con,different from,Con
乌克兰,diplomatic relation,加拿大
Mara,family name identical to this given name,Mara
唐明宗,place of burial,孟津县
窝阔台,occupation,皇帝
乌克兰,diplomatic relation,意大利
Mara,different from,Mara
唐明宗,father,李霓
乌克兰,diplomatic relation,巴西
乌克兰,diplomatic relation,德国
窝阔台,ethnic group,蒙古族
乌克兰,diplomatic relation,澳大利亚
催产素,has part,氮
乌克兰,diplomatic relation,俄罗斯
高血压,drug used for treatment,利血平
催产素,has part,碳
乌克兰,diplomatic relation,土耳其
乌克兰,diplomatic relation,美国
乌克兰,diplomatic relation,英国
乌克兰,diplomatic relation,奥地利
乌克兰,diplomatic relation,阿塞拜疆
IBM公司,business division,沃森
乌克兰,diplomatic relation,阿尔巴尼亚
乌克兰,diplomatic relation,阿尔及利亚
郸城县,instance of,县
维多利亚,instance of,市镇
热层,instance of,layer
乌克兰,diplomatic relation,安哥拉
马可尼,sex or gender,男性
红毛丹,taxon rank,种
范仲淹,sex or gender,男性
郸城县,country,中华人民共和国
维多利亚,country,巴西
乌克兰,diplomatic relation,阿根廷
distemper,subclass of,涂料
合胞体,subclass of,细胞
范仲淹,country of citizenship,中国
热层,part of,地球大气层
乌克兰,diplomatic relation,阿富汗
松松,country,哥伦比亚
切削,part of,制造业
范仲淹,country of citizenship,宋朝
热层,part of,电离层
唐明宗,ethnic group,沙陀
IBM公司,product or material produced,软件
乌克兰,diplomatic relation,孟加拉国
Berlin,legislative body,柏林
范仲淹,family name,范
IBM公司,product or material produced,数据中心
乌克兰,diplomatic relation,比利时
范仲淹,place of birth,苏州市
热层,follows,中间层
乌克兰,diplomatic relation,白俄罗斯
马可尼,place of death,罗马
范仲淹,place of death,徐州市
乌克兰,diplomatic relation,保加利亚
维多利亚,sister city,青岛市
IBM公司,product or material produced,硬件
乌克兰,diplomatic relation,越南
马可尼,cause of death,心肌梗死
乌克兰,diplomatic relation,希腊
维多利亚,sister city,珠海市
乌克兰,diplomatic relation,格鲁吉亚
乌克兰,diplomatic relation,丹麦
乌克兰,diplomatic relation,爱沙尼亚
马可尼,occupation,物理学家
范仲淹,occupation,诗人
乌克兰,diplomatic relation,埃塞俄比亚
马可尼,occupation,工程师
乌克兰,diplomatic relation,埃及
乌克兰,diplomatic relation,以色列
乌克兰,diplomatic relation,印度
乌克兰,diplomatic relation,伊拉克
乌克兰,diplomatic relation,哈萨克斯坦
乌克兰,diplomatic relation,肯尼亚
877年,instance of,年
血吸虫病,instance of,疾病
氟化硼,instance of,化合物
乌克兰,diplomatic relation,中华人民共和国
OCR,subclass of,算法
乌克兰,diplomatic relation,大韩民国
涑水河,instance of,流水
声学,subclass of,物理学
氟化硼,has part,铍
Berlin,sister city,洛杉矶
白兰地,subclass of,酒
声学,subclass of,音乐
拉瓦锡,sex or gender,男性
锦鸡儿属,taxon rank,属
花被,part of,花
血吸虫病,has cause,血吸虫
氟化硼,has part,氟
乌克兰,diplomatic relation,立陶宛
Berlin,sister city,马德里
氧化钇,instance of,化合物
杞县,instance of,县
数学软件,use,数学
花被,has part,calyx
氟化硼,has part,氟化物
淮阴市,country,中华人民共和国
厚壁孢子,subclass of,细胞
木通科,taxon rank,科
氧化钇,has part,钇
梨果寄生属,taxon rank,属
杞县,country,中华人民共和国
花被,has part,花冠
乌克兰,diplomatic relation,马来西亚
Berlin,sister city,华沙
淮阴市,located in the administrative territorial entity,江苏省
氧化钇,has part,氧
梨果寄生属,parent taxon,桑寄生科
乌克兰,diplomatic relation,马耳他
Berlin,sister city,莫斯科
马绍尔群岛,instance of,国家
拉瓦锡,place of birth,巴黎
乌克兰,diplomatic relation,墨西哥
拉瓦锡,place of death,巴黎
Berlin,sister city,雅加达
木通科,parent taxon,毛茛目
马绍尔群岛,official language,英语
拉瓦锡,manner of death,死刑
Berlin,sister city,塔什干
乌克兰,diplomatic relation,新西兰
Berlin,sister city,墨西哥城
乌克兰,diplomatic relation,挪威
Berlin,sister city,北京市
淮阴市,contains administrative territorial entity,盱眙县
马绍尔群岛,continent,大洋洲
乌克兰,diplomatic relation,巴基斯坦
拉瓦锡,languages spoken written or signed,法语
乌克兰,diplomatic relation,南非
拉瓦锡,occupation,化学家
乌克兰,diplomatic relation,波兰
Berlin,sister city,布拉格
拉瓦锡,occupation,经济学家
乌克兰,diplomatic relation,葡萄牙
拉瓦锡,occupation,生物学家
蓖麻油,subclass of,植物油
Hope,instance of,城市
马绍尔群岛,deepest point,太平洋
拉瓦锡,occupation,物理学家
乌克兰,diplomatic relation,沙特阿拉伯
Berlin,sister city,布达佩斯
柚木,taxon rank,种
厚唇鲤,taxon rank,种
红厚壳,taxon rank,种
Hope,country,美国
大丁,sex or gender,男性
角百灵,taxon rank,种
乌克兰,diplomatic relation,塞尔维亚
Berlin,sister city,巴黎
电子工业,instance of,产业
神曲,instance of,史诗
达姆施塔特,instance of,大城市
780年,instance of,年
柚木,parent taxon,柚木属
Bunsen,located on astronomical body,月球
红厚壳,parent taxon,红厚壳属
